,Name,Radius,OrbitalTime,Gravity,Temperature,OrbitalDistance,DistanceFromUranus
1,Umbriel, 501-800, 25-100, 0.2,75, 100-499, 266000 
2,Titania, 501-800, 101-500, 0.37,70, 100-499, 436300 
3,Oberon, 501-800, 101-500, 0.35,75, 500k-999, 583500
4,Puck, 51-100, 0-24, 0.03,64, >99k, 86000
5,Ariel, 501-800, 25-100, 0.27,60, 100k-499k, 190900 
6,Cressida, 26-50, 0-24, 0.01,64, >99k, 61800
7,Miranda, 101-500, 25-100, 0.08,65, 100k-499k, 129900 
8,Desdemona, 26-50, 0-24, 0.01,64, 100k-499k, 62700
9,Sycorax, 51-100, 501<, 0.03,65, 50k<, 12179400 
10,Setebos, 11-25, 501<, 0.01,65, 10k-49k, 17420400 
11,Prospero, 11-25, 501<, 0.01,65, 10k-49k, 16276800 
12,Trinculo, 1-10, 501<, 0.004,65, 1k-9k, 8505200 
13,Perdita, 11-25, 0-24, 0.005,64, 100k-499k, 76417
14,Mab, 11-25, 0-24, 0.004,63, 500k-999k, 97736 
15,Stephano, 11-25, 501<, 0.004,65, 1k-9k, 8007400 
16,Cupid, 1-10, 0-24, 0.003,64, 100k-499k, 74392
17,Caliban, 26-50, 501<, 0.02,65, 1k-9k, 7231100
18,Cordelia, 11-25, 0-24, 0.007,64, >99k, 49800
19,Ophelia, 11-25, 0-24, 0.008,64, >99k, 53800
20,Belinda, 26-50, 0-24, 0.01,64, >99k, 75300
21,Margaret, 1-10, 501<, 0.002,65, 10k-4k, 14146700 
22,Rosalind, 26-50, 0-24, 0.02,64, 100k-499k, 	69900
23,Portia, 51-100, 0-24, 0.02,64, 100k-499k, 66100
24,Bianca, 26-50, 0-24, 0.009,64, >99k, 59,200
25,Francisco, 11-25, 501<, 0.003,65, 1k-9k, 4282900 
26,Ferdinand, 1-10, 501<, 0.004,64, 10k-49k, 20430000 
27,Juliet, 26-50, 0-24, 0.02,65, >99k, 64400
